Ward code,Ward name,stop_count
E05013573,Ickenham & South Harefield,40
E05013574,Northwood,43
E05013575,Northwood Hills,35
E05013576,Pinkwell,45
E05013577,Ruislip,59
E05013578,Ruislip Manor,18
E05013579,South Ruislip,36
E05013580,Uxbridge,58
E05013581,West Drayton,37
E05013582,Wood End,48
E05013583,Yeading,24
E05013584,Yiewsley,27
E05013585,Alexandra Park,24
E05013586,Bounds Green,21
E05013587,Bruce Castle,31
E05013588,Crouch End,29
E05013589,Fortis Green,19
E05013590,Harringay,32
E05013591,Hermitage & Gardens,11
E05013592,Highgate,48
E05013593,Hornsey,19
E05013594,Muswell Hill,22
E05013595,Noel Park,20
E05013596,Northumberland Park,30
E05013597,St Ann's,15
E05013598,Seven Sisters,25
E05013599,South Tottenham,28
E05013600,Stroud Green,18
E05013601,Tottenham Central,30
E05013602,Tottenham Hale,27
E05013603,West Green,35
E05013604,White Hart Lane,27
E05013605,Woodside,27
E05013606,Bedfont,53
E05013607,Brentford East,19
E05013608,Brentford West,33
E05013609,Chiswick Gunnersbury,42
E05013610,Chiswick Homefields,43
E05013611,Chiswick Riverside,9
E05013612,Cranford,33
E05013613,Feltham North,39
E05013614,Feltham West,17
E05013615,Hanworth Park,27
E05013616,Hanworth Village,53
E05013617,Heston Central,38
E05013618,Heston East,19
E05013619,Heston West,41
E05013620,Hounslow Central,27
E05013621,Hounslow East,18
E05013622,Hounslow Heath,24
E05013623,Hounslow South,25
E05013624,Hounslow West,34
E05013625,Isleworth,34
E05013626,Osterley & Spring Grove,56
E05013627,Syon & Brentford Lock,38
E05013628,Barnet Vale,59
E05013629,Brunswick Park,38
E05013630,Burnt Oak,45
E05013631,Childs Hill,64
E05013632,Colindale North,16
E05013633,Colindale South,32
E05013634,Cricklewood,51
E05013635,East Barnet,43
E05013636,East Finchley,29
E05013637,Edgware,56
E05013638,Edgwarebury,25
E05013639,Finchley Church End,51
E05013640,Friern Barnet,39
E05013641,Garden Suburb,111
E05013642,Golders Green,29
E05013643,Hendon,47
E05013644,High Barnet,65
E05013645,Mill Hill,73
E05013646,Totteridge & Woodside,63
E05013647,Underhill,32
E05013648,West Finchley,54
E05013649,West Hendon,40
E05013650,Whetstone,46
E05013651,Woodhouse,45
E05013652,Belsize,25
E05013653,Bloomsbury,42
E05013654,Camden Square,16
E05013655,Camden Town,26
E05013656,Fortune Green,25
E05013657,Frognal,11
E05013658,Gospel Oak,20
E05013659,Hampstead Town,21
E05013660,Haverstock,23
E05013661,Highgate,30
E05013662,Holborn & Covent Garden,47
E05013663,Kentish Town North,16
E05013664,Kentish Town South,17
E05013665,Kilburn,21
E05013666,King's Cross,41
E05013667,Primrose Hill,25
E05013668,Regent's Park,44
E05013669,St Pancras & Somers Town,17
E05013670,South Hampstead,24
E05013671,West Hampstead,23
E05013672,Arnos Grove,22
E05013673,Bowes,23
E05013674,Brimsdown,33
E05013675,Bullsmoor,19
E05013676,Bush Hill Park,44
E05013677,Carterhatch,26
E05013678,Cockfosters,54
E05013679,Edmonton Green,40
E05013680,Enfield Lock,27
E05013681,Grange Park,25
E05013682,Haselbury,24
E05013683,Highfield,15
E05013684,Jubilee,19
E05013685,Lower Edmonton,30
E05013686,New Southgate,22
E05013687,Oakwood,34
E05013688,Palmers Green,21
