LSOA code,LSOA name,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
E01000489,Brent 030A,65,135,55,465,c
E01000490,Brent 023A,20,20,c,905,c
E01000491,Brent 030B,115,90,35,700,c
E01000492,Brent 030C,30,140,135,160,c
E01000493,Brent 030D,15,305,110,155,c
E01000494,Brent 023B,45,75,30,630,c
E01000495,Brent 023C,25,15,c,805,c
E01000497,Brent 011A,50,230,140,295,c
E01000498,Brent 010B,45,90,265,145,c
E01000499,Brent 011B,25,220,80,275,c
E01000501,Brent 011C,15,90,85,610,c
E01000502,Brent 011D,30,215,40,390,c
E01000503,Brent 011E,90,305,90,315,c
E01000504,Brent 018A,20,130,95,480,c
E01000505,Brent 018B,25,300,35,230,c
E01000506,Brent 014A,20,65,90,520,c
E01000507,Brent 018C,40,265,110,125,c
E01000508,Brent 025A,40,85,240,545,c
E01000509,Brent 014B,35,150,180,115,c
E01000510,Brent 014C,30,215,60,305,c
E01000511,Brent 014D,30,160,90,315,c
E01000512,Brent 018D,15,115,300,250,c
E01000513,Brent 002A,20,420,c,30,c
E01000514,Brent 002B,15,200,110,185,c
E01000515,Brent 003A,30,85,60,500,c
E01000516,Brent 002C,55,195,175,355,c
E01000517,Brent 003B,25,380,15,95,c
E01000518,Brent 005A,30,310,135,170,c
E01000519,Brent 005B,50,295,20,295,c
E01000520,Brent 002D,40,190,55,360,c
E01000521,Brent 025B,15,70,70,855,c
E01000522,Brent 025C,20,90,75,555,c
E01000523,Brent 031A,25,65,175,700,c
E01000524,Brent 031B,15,55,50,975,c
E01000525,Brent 031C,10,45,70,715,c
E01000526,Brent 025D,30,70,190,580,c
E01000527,Brent 025E,20,60,190,565,c
E01000528,Brent 025F,25,45,110,595,c
E01000530,Brent 033A,c,80,295,315,c
E01000531,Brent 033B,35,35,195,640,c
E01000532,Brent 033C,10,50,275,310,c
E01000533,Brent 031E,30,90,75,755,c
E01000534,Brent 033D,c,125,105,455,c
E01000535,Brent 031F,25,75,135,680,c
E01000536,Brent 004A,125,240,15,145,c
E01000538,Brent 004B,215,270,c,10,c
E01000539,Brent 004C,60,345,c,155,c
E01000540,Brent 004D,195,245,c,50,c
E01000541,Brent 004E,25,220,25,245,c
E01000543,Brent 003E,25,315,c,165,c
E01000544,Brent 034A,c,30,50,770,c
E01000545,Brent 028A,c,25,60,925,c
E01000546,Brent 028B,10,20,150,655,c
E01000547,Brent 028C,20,20,205,510,c
E01000548,Brent 028D,c,10,25,1075,c
E01000549,Brent 028E,c,20,170,745,c
E01000550,Brent 034B,c,10,20,955,c
E01000551,Brent 034C,c,c,20,1180,c
E01000552,Brent 034D,c,10,25,670,c
E01000553,Brent 015A,20,95,150,530,c
E01000554,Brent 015B,20,80,95,605,c
E01000555,Brent 015C,70,215,35,230,c
E01000556,Brent 015D,55,20,65,850,c
E01000557,Brent 015E,15,55,45,750,c
E01000558,Brent 015F,70,60,c,560,c
E01000559,Brent 018E,15,55,25,595,c
E01000560,Brent 023D,65,60,20,565,c
E01000561,Brent 023E,25,c,c,835,c
E01000562,Brent 008A,340,35,10,105,c
E01000563,Brent 008B,105,355,c,30,c
E01000564,Brent 013A,30,235,30,210,c
E01000565,Brent 013B,50,210,55,180,c
E01000566,Brent 008C,25,335,80,35,c
E01000567,Brent 016A,60,175,35,205,c
E01000568,Brent 008D,60,175,60,395,c
E01000569,Brent 008E,30,450,c,c,c
E01000570,Brent 012A,25,225,90,200,c
E01000571,Brent 012B,30,405,c,60,c
E01000572,Brent 007A,35,340,c,90,c
E01000573,Brent 007B,30,275,155,35,c
E01000574,Brent 007C,20,355,c,90,c
E01000575,Brent 007D,50,240,85,315,c
E01000576,Brent 012C,50,315,c,220,c
E01000577,Brent 007E,20,65,110,680,c
E01000578,Brent 012D,120,150,15,605,c
E01000579,Brent 032A,10,50,190,445,c
E01000580,Brent 032B,c,40,275,615,c
E01000581,Brent 030E,c,70,155,390,c
E01000582,Brent 032C,15,95,250,360,c
E01000583,Brent 032D,c,30,175,770,c
E01000584,Brent 033E,10,95,270,210,c
