Ward code,Ward name,Total population,Under 15 years,15 to 64 years,65 years and older,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure,Total: All dwellings,Total: Occupied dwellings,Unoccupied dwellings,Total: All households,One-person household,One-person household: Aged 66 years and over,One-person household: Other,Single family household,Other household types
E05000442,Downham,15731,3495,10426,1810,260.0,1305.0,3235.0,1490.0,0.0,6285,6020,260.0,6026.0,1654.0,639.0,1015.0,3785.0,587.0
E05000443,Evelyn,21392,3767,16408,1217,115.0,335.0,1005.0,8095.0,0.0,9610,8885,720.0,8885.0,2811.0,439.0,2372.0,4777.0,1297.0
E05000444,Forest Hill,15179,3040,10616,1523,380.0,955.0,1010.0,4575.0,0.0,6930,6410,530.0,6405.0,1915.0,467.0,1448.0,3829.0,661.0
E05000445,Grove Park,15290,3046,10225,2019,315.0,1710.0,1960.0,2535.0,0.0,6525,6140,385.0,6148.0,1817.0,671.0,1146.0,3706.0,625.0
E05000446,Ladywell,12311,2332,8710,1269,195.0,765.0,1840.0,2315.0,0.0,5135,4795,330.0,4802.0,1256.0,333.0,923.0,2879.0,667.0
E05000447,Lee Green,15017,3151,10189,1677,240.0,905.0,2225.0,3105.0,0.0,6490,6130,350.0,6139.0,1761.0,578.0,1183.0,3809.0,569.0
E05000448,Lewisham Central,22871,3934,17322,1615,125.0,640.0,1735.0,8395.0,0.0,10930,9955,985.0,9961.0,3377.0,553.0,2824.0,5379.0,1205.0
E05000449,New Cross,19179,3361,14621,1197,140.0,485.0,1460.0,6255.0,0.0,8370,7745,625.0,7785.0,2541.0,381.0,2160.0,3937.0,1307.0
E05000450,Perry Vale,15947,3294,11016,1637,230.0,810.0,1940.0,3965.0,0.0,6960,6555,400.0,6562.0,1935.0,560.0,1375.0,3958.0,669.0
E05000451,Rushey Green,16967,3364,12115,1488,220.0,805.0,1745.0,4835.0,0.0,7615,6965,645.0,6971.0,2310.0,486.0,1824.0,3741.0,920.0
E05000452,Sydenham,16394,3319,11056,2019,225.0,715.0,1700.0,4760.0,0.0,7410,6860,555.0,6876.0,2182.0,728.0,1454.0,4051.0,643.0
