ATCOCode,CommonName,NptgLocalityCode,LocalityName,Longitude,Latitude,Status
490013190W,Warwick Road Palmers Green,N0065115,Palmers Green,-0.12377,51.61345,active
490013578S,The Vale Cricklewood,N0060109,Cricklewood,-0.20696,51.5678,active
490013578N,The Vale Cricklewood,N0060109,Cricklewood,-0.20637,51.56609,active
490010215N,Newham University Hospital / New Vic College,E0034709,Plaistow,0.03077,51.52276,active
490010215S,Newham University Hospital / New Vic College,E0034709,Plaistow,0.03107,51.52251,active
490000658Z,Wisley Road,E0034149,St Pauls Cray,0.1064,51.41323,active
490000659Z,Bostall Road,E0034149,St Pauls Cray,0.10641,51.41091,active
490014587E,Newlands Road,E0034746,Woodford Wells,0.02223,51.62439,active
490000788Y,Augustine Road,E0034148,St Mary Cray,0.12154,51.39947,active
490000357Z,Gloucester Road / Whitton,E0034786,Whitton,-0.35466,51.44516,active
490000882Z,Mostyn Road / Sheridan Road,N0061138,Merton Park,-0.20608,51.41149,active
490000883Z,South Lane / West,E0034617,New Malden,-0.26886,51.40039,active
490000887Y,Courthouse Road,N0077737,West Finchley,-0.18859,51.61198,active
490000887Z,Courthouse Road,N0077737,West Finchley,-0.18858,51.61132,active
490000358Z,Priory Lane / Arabella Drive,E0034901,Roehampton,-0.24885,51.46429,active
490000912Y,Chilvins Court,N0077737,West Finchley,-0.19112,51.60824,active
490000912Z,Chilvins Court,N0077737,West Finchley,-0.19118,51.60798,active
490000940Y,Nether Street / West Finchley,N0077737,West Finchley,-0.19381,51.60673,active
490000940Z,Nether Street / West Finchley,N0077737,West Finchley,-0.19386,51.60636,active
490000942Z,Elm Park Road / West Finchley,N0077737,West Finchley,-0.19557,51.60422,active
490000985PF,West End Lane / Chapel Lane,E0034431,Pinner,-0.3872,51.5931,active
490000985PG,West End Lane / Chapel Lane,E0034431,Pinner,-0.38701,51.59312,active
490000990Z,Eversleigh Road,N0077737,West Finchley,-0.19508,51.60491,active
490000359Z,Paddock Secondary School,E0034901,Roehampton,-0.25123,51.46369,active
490006440S,Angel Road,E0034318,Upper Edmonton,-0.04813,51.6146,active
4900HC188N,Angel Road,E0034318,Upper Edmonton,-0.04837,51.61451,active
490001028E,High Road East Finchley,E0033958,East Finchley,-0.16469,51.58964,active
490001030E,Sunny Way,E0033954,Colney Hatch,-0.16585,51.60816,active
490001030W,Sunny Way,E0033954,Colney Hatch,-0.16592,51.60798,active
490000360Z,Ludovik Walk,E0034901,Roehampton,-0.25298,51.46507,active
490011814S,Canning Town Recreation Ground,N0075225,Custom House,0.02547,51.51488,active
490016788N,Canning Town Recreation Ground,N0075225,Custom House,0.02513,51.51557,active
