ATCOCode,CommonName,NptgLocalityCode,LocalityName,Longitude,Latitude,Status
490003298S,Amersham Road,E0034671,New Cross,-0.03214,51.47334,active
490003298N,Amersham Road,E0034671,New Cross,-0.03344,51.47353,active
490003299N,Amesbury Drive,E0034865,Chingford,-0.01215,51.63851,active
490003299S,Amesbury Drive,E0034865,Chingford,-0.01227,51.63745,active
490000382Y,Fairlop Outdoor Activity Centre,E0034724,Fairlop,0.1033,51.59895,active
490000382Z,Fairlop Outdoor Activity Centre,E0034724,Fairlop,0.10312,51.59871,active
490003301Z,Canbury Path,N0075243,Poverest,0.10033,51.394,active
490003302Y,Dorney Rise,N0075243,Poverest,0.09653,51.39436,active
490003302Z,Dorney Rise,N0075243,Poverest,0.09666,51.39428,active
490003303N,Amherst Road,N0060497,Ealing,-0.31064,51.51878,active
490003304E,Bethune Road Stamford Hill,E0034368,Stamford Hill,-0.08519,51.57462,active
490003304W,Bethune Road Stamford Hill,E0034368,Stamford Hill,-0.08422,51.5746,active
490003305S,Quay Road,E0034717,Wallend,0.07281,51.52999,active
490003305N,Quay Road,E0034717,Wallend,0.07262,51.53041,active
490003306W,Seven Sisters Road /Amhurst Pk,E0034368,Stamford Hill,-0.08741,51.57355,active
490003307Q,Stoke Newington Rd /Amhurst Rd,E0034362,Shacklewell,-0.07449,51.55622,active
490003309W,Amity Road,E0034718,West Ham,0.01331,51.53708,active
490003309E,Amity Road,E0034718,West Ham,0.01166,51.53724,active
490003310N,Anchor & Hope Lane,E0034323,Charlton,0.0304,51.48897,active
490015312E,Anchor & Hope Lane,E0034323,Charlton,0.02863,51.49021,active
490003311N,Anchor Street,E0034789,Bermondsey,-0.06062,51.49158,active
490003311E,Anchor Street,E0034789,Bermondsey,-0.06139,51.49217,active
490007624S,Mare Street / Victoria Park Rd,N0065201,South Hackney,-0.05714,51.53493,active
490003314R,Mare Street / Victoria Park Rd,N0065201,South Hackney,-0.05733,51.53507,active
490003315I,Abbott Road,E0034858,South Bromley,-0.00819,51.51466,active
490003317AJ,Anerley Road / Oak Grove Road,E0034067,Anerley,-0.05863,51.40902,active
490003317AK,Anerley Road / Oak Grove Road,E0034067,Anerley,-0.0588,51.40907,active
490003318AV,Anerley / The Mitre,E0034067,Anerley,-0.06343,51.40674,active
490003318E,Anerley / The Mitre,E0034067,Anerley,-0.06464,51.40627,active
490003319N,Anerley Park,E0034067,Anerley,-0.06877,51.41325,active
490003320W,Hamlet Road,E0034067,Anerley,-0.07296,51.41558,active
490003320E,Hamlet Road,E0034067,Anerley,-0.0733,51.41572,active
490007700S,Hamlet Road,E0034067,Anerley,-0.07192,51.41576,active
490010801H,Angel Corner,E0034293,Edmonton,-0.06404,51.61614,active
490003322C,Angel Corner,E0034293,Edmonton,-0.0635,51.61436,active
490015189E,Angel Corner,E0034293,Edmonton,-0.06386,51.61601,active
490015189D,Angel Corner,E0034293,Edmonton,-0.0636,51.61669,active
490003322F,Angel Corner,E0034293,Edmonton,-0.06358,51.61473,active
490020131E,Sutton Common Road,E0034814,Benhilton,-0.19439,51.37376,active
490003326E,Basil Gardens,E0034234,Shirley,-0.05182,51.37858,active
490003326W,Basil Gardens,E0034234,Shirley,-0.05174,51.37845,active
490003331W,Angus Gardens,E0033949,Burnt Oak,-0.2553,51.60257,active
490003332E,Animal Reception Centre,E0034533,East Bedfont,-0.45358,51.45482,active
490003332W,Animal Reception Centre,E0034533,East Bedfont,-0.45398,51.45468,active
490003333S,Annandale Road,E0034001,Blackfen,0.09557,51.44115,active
490003333N,Annandale Road,E0034001,Blackfen,0.09599,51.4418,active
490003334W,Calvert Road,E0034328,Greenwich,0.01102,51.48614,active
490003335E,Garnet Street,E0034863,Wapping,-0.05577,51.50648,active
490003336N,Annesley Road,E0034330,Kidbrooke,0.02201,51.47323,active
490003336S,Annesley Road,E0034330,Kidbrooke,0.02278,51.47241,active
490003337E,Anson Primary School,E0034066,Willesden Green,-0.21793,51.55392,active
490003337W,Anson Primary School,E0034066,Willesden Green,-0.21832,51.55385,active
490003338S,Anson Road,E0034066,Willesden Green,-0.21768,51.55337,active
490003339S,Knightswood Road,E0034469,Rainham,0.19247,51.52587,active
490008878N,Knightswood Road,E0034469,Rainham,0.19219,51.52569,active
490003340S,Antlers Hill,E0034865,Chingford,-0.00864,51.6453,active
490003341E,Aperfield Road,E0034068,Aperfield,0.04388,51.30734,active
490018980S,Aperfield Road,E0034068,Aperfield,0.04336,51.30843,active
490003342S,Apex Corner,E0033976,Mill Hill,-0.25428,51.62283,active
490003642N,Apex Corner,E0033976,Mill Hill,-0.25359,51.62096,active
490003642N1,Apex Corner,E0033976,Mill Hill,-0.25332,51.62089,active
490003342N,Apex Corner,E0033976,Mill Hill,-0.25475,51.62276,active
490003343W,Apollo Place,N0065232,Leyton,0.00535,51.55902,active
490003345E,Applegarth,E0034213,Addington,-0.0241,51.35346,active
490003345W,Applegarth,E0034213,Addington,-0.02401,51.3532,active
490003346E,Hemmings Close,E0034030,Sidcup,0.10816,51.43339,active
490003346W,Hemmings Close,E0034030,Sidcup,0.10761,51.43322,active
490003347W,Appleton Road,N0060440,Eltham Park,0.04414,51.46057,active
490003347E,Appleton Road,N0060440,Eltham Park,0.04518,51.46052,active
490003348W,Apple Tree Avenue,E0034482,Cowley Peachey,-0.46328,51.51744,active
490003348E,Apple Tree Avenue,E0034482,Cowley Peachey,-0.46312,51.51761,active
490003352S,Arbery Road,E0034845,Globe Town,-0.03822,51.52882,active
490003352N,Arbery Road,E0034845,Globe Town,-0.03852,51.52896,active
490003353E,Arbour Square,E0034862,Stepney,-0.04796,51.51349,active
490003354N,Arbour Way,N0060438,Elm Park,0.20026,51.54754,active
490003354S,Arbour Way,N0060438,Elm Park,0.20062,51.54715,active
490003355N,Arbroath Road,N0060440,Eltham Park,0.05139,51.46399,active
490003355S,Arbroath Road,N0060440,Eltham Park,0.05087,51.46365,active
490003357N,Arbuthnot Lane,N0060491,Bexley,0.13536,51.44795,active
490003357S,Arbuthnot Lane,N0060491,Bexley,0.13409,51.44684,active
490003358N,Arbuthnot Road,N0065180,New Cross Gate,-0.04074,51.47109,active
490003359B,Archbishop Tenison's School,N0065165,Kennington,-0.11633,51.48321,active
490003359A,Archbishop Tenison's School,N0065165,Kennington,-0.11554,51.48303,active
490003361W,California Road,E0034618,Norbiton,-0.27517,51.40359,active
490003361E,California Road,E0034618,Norbiton,-0.27432,51.40353,active
490003362W,Archway Bridge,N0065112,Archway,-0.13798,51.57074,active
490003362E,Archway Bridge,N0065112,Archway,-0.13871,51.57046,active
490003363M,Archway Road / St John's Way,N0065112,Archway,-0.13299,51.56676,active
490003365E,Sungate Cottages,E0033936,Marks Gate,0.147,51.59596,active
490003365W,Sungate Cottages,E0033936,Marks Gate,0.14738,51.596,active
490003366S,Arden Road,N0075222,Church End,-0.20517,51.59496,active
490003366N,Arden Road,N0075222,Church End,-0.2046,51.5957,active
490003367S,Southgate Road / Ardleigh Road,E0034354,Kingsland,-0.08391,51.54421,active
490003368S,Ardley Close,E0034653,Bell Green,-0.03752,51.43152,active
490003368W,Ardley Close,E0034653,Bell Green,-0.0377,51.43191,active
490007967S,Ardoch Road,E0034654,Bellingham,-0.00166,51.4369,active
490003369N,Ardoch Road,E0034654,Bellingham,-0.00184,51.43778,active
490003370W,Argyle Road (UB6),E0034263,Greenford,-0.33129,51.53361,active
490003372W,Argyle Road (W13),E0034280,West Ealing,-0.32222,51.51629,active
490003372E,Argyle Road (W13),E0034280,West Ealing,-0.32139,51.51653,active
490003375WL,White City Bus Station,E0034394,White City,-0.22365,51.50884,active
490003375WK,White City Bus Station,E0034394,White City,-0.22369,51.50857,active
490003375WJ,White City Bus Station,E0034394,White City,-0.22396,51.50832,active
490003375WH,White City Bus Station,E0034394,White City,-0.22391,51.50856,active
490003375AP,White City Bus Station,E0034394,White City,-0.22402,51.50904,active
490003377S,Arkwright Road,E0034233,Selsdon/South Croydon,-0.07815,51.34844,active
490003377N,Arkwright Road,E0034233,Selsdon/South Croydon,-0.07786,51.34817,active
490003378G,Arlington Crescent,E0034301,Freezy Water,-0.03344,51.68216,active
490003379S,Arlington Drive,N0075246,Ruislip Common,-0.43208,51.58359,active
490003379N,Arlington Drive,N0075246,Ruislip Common,-0.43307,51.58429,active
490003381S,Arlington Road (N14),E0033982,Osidge,-0.14051,51.62753,active
490003381N,Arlington Road (N14),E0033982,Osidge,-0.14079,51.62784,active
490003382W,Browning Road (EN2),E0034291,Clay Hill,-0.08099,51.66392,active
490004509E,Browning Road (EN2),E0034291,Clay Hill,-0.08294,51.66404,active
490003383E,Armoury Way,E0034912,Wandsworth,-0.19661,51.45831,active
490003383D,Armoury Way,E0034912,Wandsworth,-0.19668,51.4583,active
490003387S,Arnold Road (UB5),E0034270,Northolt,-0.37923,51.5475,active
490003387N,Arnold Road (UB5),E0034270,Northolt,-0.37872,51.54796,active
490003388N,Arnold Road (RM10),E0033934,Dagenham,0.14777,51.53604,active
490003388S,Arnold Road (RM10),E0033934,Dagenham,0.14826,51.5351,active
490003389N,Arragon Gardens,E0034646,Streatham Vale,-0.12598,51.41669,active
490003389S,Arragon Gardens,E0034646,Streatham Vale,-0.12615,51.41711,active
490003390E,Arragon Road (E6),E0034715,Upton Park,0.04312,51.53116,active
490003392W1,Arterberry Road,E0034678,Bushey Mead,-0.22411,51.41243,active
490003392W2,Arterberry Road,E0034678,Bushey Mead,-0.22443,51.41211,active
490003393W,Arterberry Road Copse Hill,E0034680,Copse Hill,-0.22781,51.41838,active
490007889W,Edmonton Fire Station,E0034304,Lower Edmonton,-0.07197,51.62745,active
490003396E,Edmonton Fire Station,E0034304,Lower Edmonton,-0.0688,51.62693,active
490003397S,Arundel Avenue,E0034233,Selsdon/South Croydon,-0.06854,51.34475,active
490003397N,Arundel Avenue,E0034233,Selsdon/South Croydon,-0.0689,51.34491,active
490003399S,Portobello and Golborne Market,E0034600,Notting Hill,-0.20464,51.51386,active
490006476N,Portobello and Golborne Market,E0034600,Notting Hill,-0.20519,51.51445,active
490000383Y,Elmbridge Road,E0034727,Hainault,0.11367,51.60518,active
490000383Z,Elmbridge Road,E0034727,Hainault,0.11383,51.60519,active
490003401N,Arundel Road,E0034459,Harold Wood,0.23233,51.59736,active
490003401S,Arundel Road,E0034459,Harold Wood,0.23246,51.59701,active
490003402S,Green Lane (TW4),N0065160,Hounslow West,-0.40359,51.46897,active
490003402N,Green Lane (TW4),N0065160,Hounslow West,-0.40323,51.46854,active
490003403S,Ellington Street / Arundel Square,N0077636,Caledonian Road,-0.112,51.54591,active
490003407E,Ashbourne Grove,E0033976,Mill Hill,-0.25549,51.61549,active
490003408N,Ashbourne Road (CR4),E0034687,Mitcham,-0.1513,51.41751,active
490003408S,Ashbourne Road (CR4),E0034687,Mitcham,-0.15239,51.41669,active
490003409S,Ashbourne Road (RM3),E0034464,Noak Hill,0.21882,51.61347,active
490004929S,Woodshire Road,E0033931,Beacontree Heath,0.15985,51.55495,active
490003410N,Woodshire Road,E0033931,Beacontree Heath,0.15962,51.55459,active
490003411S,Ashburnham Grove,E0034328,Greenwich,-0.01335,51.47498,active
490003411N,Ashburnham Grove,E0034328,Greenwich,-0.01313,51.47526,active
490003412E,Ashburnham Road,N0075230,Ham,-0.31435,51.43771,active
490003412W,Ashburnham Road,N0075230,Ham,-0.31429,51.43783,active
490003417N,Ashburton Avenue,E0034736,Loxford,0.0923,51.54871,active
490003418E,Woodside Fire Station,E0034246,Woodside,-0.06173,51.38697,active
490003419D,Ashburton Park,E0034246,Woodside,-0.06408,51.38479,active
490003419C,Ashburton Park,E0034246,Woodside,-0.06379,51.38487,active
490003420W2,Ashburton Road Addiscombe,E0034214,Addiscombe,-0.07421,51.37449,active
490003420E,Ashburton Road Addiscombe,E0034214,Addiscombe,-0.07583,51.37505,active
490003421N,Oasis Academy,E0034246,Woodside,-0.06421,51.38246,active
490003421S,Oasis Academy,E0034246,Woodside,-0.0644,51.38293,active
490003424S,Ashchurch Terrace,N0065206,Stamford Brook,-0.24183,51.50188,active
490003425E,Ashcroft Court,E0033981,Oakleigh Park,-0.16928,51.62992,active
490003426W,Ashen Vale,E0034233,Selsdon/South Croydon,-0.05207,51.34748,active
490003427E,Ashfield Lane,E0034083,Chislehurst,0.08184,51.41514,active
490003427W,Ashfield Lane,E0034083,Chislehurst,0.08176,51.41501,active
490003435E,Ash Grove (UB1),E0034256,Dormers Wells,-0.36474,51.52458,active
490003435W,Ash Grove (UB1),E0034256,Dormers Wells,-0.3652,51.52423,active
490003436BG,Ash Grove (SE20),E0034067,Anerley,-0.05754,51.40627,active
490003436BE,Ash Grove (SE20),E0034067,Anerley,-0.05811,51.40669,active
490003438S1,Ashgrove Road,E0034661,Downham,-0.00262,51.42228,active
490003438S2,Ashgrove Road,E0034661,Downham,-0.0023,51.4222,active
490003439W,Stanthorpe Road,E0034643,Streatham,-0.12873,51.42749,active
490003439Z,Stanthorpe Road,E0034643,Streatham,-0.12939,51.42734,active
490003441S,Ashley Lane,E0033971,Hendon,-0.21912,51.59317,active
490003441N,Ashley Lane,E0033971,Hendon,-0.21839,51.59385,active
490003442N,Ashmere Avenue,E0034142,Shortlands,-0.00908,51.40685,active
490008237N,Hillside Avenue,E0033954,Colney Hatch,-0.15623,51.61143,active
490003443S,Hillside Avenue,E0033954,Colney Hatch,-0.15504,51.61123,active
490003444W,Ashmore Road,E0034937,Maida Hill,-0.20289,51.52481,active
490003445W,Ashmour Gardens,N0075245,Rise Park,0.17749,51.5896,active
490003445E,Ashmour Gardens,N0075245,Rise Park,0.17731,51.58978,active
490003446E,Ashridge Way South Merton,N0061138,Merton Park,-0.20978,51.4029,active
490003446W,Ashridge Way South Merton,N0061138,Merton Park,-0.20912,51.40273,active
490003447W,Ashridge Way Merton Park,N0061138,Merton Park,-0.20729,51.39816,active
490003447E,Ashridge Way Merton Park,N0061138,Merton Park,-0.20673,51.3984,active
490003448S,Ash Road (SM3),N0060708,Rosehill,-0.2136,51.38401,active
490003449W,Farrance Road,E0033932,Chadwell Heath,0.13937,51.57189,active
490003450N,Ashton Playing Fields,E0034747,Woodford Bridge,0.04968,51.60532,active
490003450M,Ashton Playing Fields,E0034747,Woodford Bridge,0.05054,51.60535,active
490003451E,Ashton Road,N0060445,Gallows Corner,0.21756,51.59778,active
490003451Y,Ashton Road,N0060445,Gallows Corner,0.21979,51.59661,active
490003451Z,Ashton Road,N0060445,Gallows Corner,0.21871,51.59734,active
490003452E,Ashurst Drive,E0034725,Gants Hill,0.07399,51.57528,active
490003455S,Ashville Road,E0034875,Leytonstone,0.00312,51.56315,active
490003456W,Askew Road East Acton,E0034250,East Acton,-0.24413,51.50671,active
490003458Z,Asmuns Hill,N0065158,Hampstead Garden Suburb,-0.19446,51.58501,active
490003459Q,Aspen Way,E0034837,Blackwall,-0.0074,51.50598,active
490003459R,Aspen Way,E0034837,Blackwall,-0.00792,51.50677,active
490003465S,Kingston Lane,E0034782,Teddington,-0.32134,51.42384,active
490003465N,Kingston Lane,E0034782,Teddington,-0.32165,51.42403,active
490003466N,Brookehowse Road,E0034654,Bellingham,-0.0224,51.43349,active
490003851S,Brookehowse Road,E0034654,Bellingham,-0.02141,51.4318,active
490004371S,Brookehowse Road,E0034654,Bellingham,-0.02201,51.43278,active
490004450N,Brookehowse Road,E0034654,Bellingham,-0.02172,51.4313,active
490008864S,Brookehowse Road,E0034654,Bellingham,-0.02362,51.43564,active
490012283S,Brookehowse Road,E0034654,Bellingham,-0.01893,51.42658,active
490003467S,Athelstan Park,N0060498,Kingston Upon Thames,-0.2943,51.40404,active
490003467N,Athelstan Park,N0060498,Kingston Upon Thames,-0.29445,51.40461,active
490003468E,Atherton Leisure Centre,E0034705,Forest Gate,0.01538,51.54446,active
490003468W,Atherton Leisure Centre,E0034705,Forest Gate,0.01377,51.54396,active
490003469W,Athlone House,E0034402,Highgate,-0.15709,51.57205,active
490003469E,Athlone House,E0034402,Highgate,-0.15712,51.57215,active
490003470W,Atkinson Close / Copse Hill,E0034680,Copse Hill,-0.23954,51.41826,active
490003472N,Kings Avenue / Atkins Road,E0034630,Clapham Park,-0.13177,51.4484,active
490003472S,Kings Avenue / Atkins Road,E0034630,Clapham Park,-0.13148,51.44872,active
490003473W,Atwater Close,E0034645,Streatham Hill,-0.11678,51.44473,active
490003473E,Atwater Close,E0034645,Streatham Hill,-0.11659,51.44478,active
490003474N,Auckland Rise,E0034240,Upper Norwood,-0.08122,51.41127,active
490003476S,Audley Road (NW4),E0033971,Hendon,-0.23368,51.58312,active
490003476E2,Audley Road (NW4),E0033971,Hendon,-0.23436,51.58264,active
490003476E1,Audley Road (NW4),E0033971,Hendon,-0.2332,51.58234,active
490003476W,Audley Road (NW4),E0033971,Hendon,-0.23389,51.58222,active
490003477S,Audley Road (W5),N0060497,Ealing,-0.29139,51.5205,active
490003478E,Chelsfield Road,E0034091,Derry Downs,0.11416,51.38536,active
490003478E1,Chelsfield Road,E0034091,Derry Downs,0.11356,51.38568,active
490003479N,Audric Close,E0034618,Norbiton,-0.288,51.41443,active
490005607S,Augusta Street,E0034854,Poplar,-0.01982,51.51377,active
490003480W,Augusta Street,E0034854,Poplar,-0.0188,51.51365,active
490003484W,Auriol Drive (UB10),E0034504,North Hillingdon,-0.45104,51.55214,active
490003484E,Auriol Drive (UB10),E0034504,North Hillingdon,-0.45155,51.55225,active
490003486E,Austin Road,N0075243,Poverest,0.10344,51.3895,active
490003486W,Austin Road,N0075243,Poverest,0.10308,51.38944,active
490003486S,Austin Road,N0075243,Poverest,0.10439,51.39051,active
490003486N,Austin Road,N0075243,Poverest,0.1043,51.39072,active
490003488S,Austyn Gardens,E0034625,Tolworth,-0.28294,51.38446,active
490003488N,Austyn Gardens,E0034625,Tolworth,-0.2842,51.38397,active
490003489S,Autumn Street,E0034853,Old Ford,-0.0218,51.53515,active
490014659N,Autumn Street,E0034853,Old Ford,-0.02195,51.53465,active
490003490W,Avalon Close,E0034102,Goddington,0.12088,51.36962,active
490003491W,Avelon Road,E0034450,Chase Cross,0.17529,51.60303,active
490003491E,Avelon Road,E0034450,Chase Cross,0.1763,51.60362,active
490003492W,Avenue Park Road,N0065233,Tulse Hill,-0.10464,51.44074,active
490003492E,Avenue Park Road,N0065233,Tulse Hill,-0.10264,51.44025,active
490003493E,Fairfield South,N0060498,Kingston Upon Thames,-0.29907,51.40773,active
490003493W,Fairfield South,N0060498,Kingston Upon Thames,-0.29996,51.40759,active
490003494W,Avenue Road (SE20),N0065189,Penge & Sydenham,-0.05477,51.41156,active
490003494E,Avenue Road (SE20),N0065189,Penge & Sydenham,-0.0559,51.41094,active
490003496E,Avenue Road (SW20),E0034681,Cottenham Park,-0.23772,51.41044,active
490003496W,Avenue Road (SW20),E0034681,Cottenham Park,-0.23803,51.41059,active
490003497W,Avenue Road St John's Wood,E0034935,Lisson Grove,-0.16296,51.53517,active
490003497E,Avenue Road St John's Wood,E0034935,Lisson Grove,-0.16435,51.53467,active
490003498E,Harold Wood Library,E0034459,Harold Wood,0.23556,51.5947,active
490003498W,Harold Wood Library,E0034459,Harold Wood,0.23589,51.59469,active
490000384Z,Cranford Lane Hatton Cross,N0077674,Hatton Cross,-0.42529,51.47612,active
490003500K,James Watt Way,E0034015,Erith,0.18058,51.47864,active
490003501E,Avenue Road / Grosvenor Court,N0060480,Oakwood,-0.13398,51.6394,active
490003501W,Avenue Road / Grosvenor Court,N0060480,Oakwood,-0.13401,51.63905,active
490003502E,West Green Baptist Church,E0034414,West Green,-0.08305,51.58546,active
490003499W,West Green Baptist Church,E0034414,West Green,-0.08472,51.58575,active
490003504N,Avery Hill / Riefield Road,E0034322,Avery Hill,0.07881,51.45217,active
490003505E,Stationers' Crown Woods Academy,E0034322,Avery Hill,0.07569,51.4518,active
490003505W,Stationers' Crown Woods Academy,E0034322,Avery Hill,0.07352,51.45187,active
490003506N,Avery Hill Road,E0034322,Avery Hill,0.08158,51.44595,active
490003507S,Avery Hill Road / Halfway St,E0034322,Avery Hill,0.08154,51.44465,active
490003507N,Avery Hill Road / Halfway St,E0034322,Avery Hill,0.08145,51.44489,active
490003512S,Avondale Drive,E0034494,Hayes Town,-0.41227,51.51181,active
490003512N,Avondale Drive,E0034494,Hayes Town,-0.41272,51.51198,active
490003513E1,Copleston Road,N0060437,East Dulwich,-0.07628,51.4656,active
490003513W1,Copleston Road,N0060437,East Dulwich,-0.07559,51.46553,active
490003515W,Avondale Road Wimbledon Park,E0034696,Wimbledon Park,-0.19455,51.42774,active
490003515E,Avondale Road Wimbledon Park,E0034696,Wimbledon Park,-0.19544,51.42775,active
490003516W,Avondale Road Mortlake,E0034767,Mortlake,-0.2614,51.46978,active
490003518S,Avon Road,E0034263,Greenford,-0.36737,51.5282,active
490003518N,Avon Road,E0034263,Greenford,-0.36751,51.52902,active
490003519S,River Drive,E0034453,Cranham,0.25678,51.56943,active
490003519N,River Drive,E0034453,Cranham,0.25659,51.56982,active
490003521E,Awlfield Avenue,E0034412,Tottenham,-0.08192,51.59801,active
490003521W1,Awlfield Avenue,E0034412,Tottenham,-0.08313,51.59784,active
490003524N,Aylesbury Street (NW10),E0034055,Neasden,-0.25727,51.56214,active
490003525N,Aylesbury Street (EC1),E0034582,St Lukes,-0.10279,51.52374,active
490003528S2,Ayles Road,E0034521,Yeading,-0.40555,51.53205,active
490003528Z,Ayles Road,E0034521,Yeading,-0.40644,51.53174,active
490003529A,Aylmer Road,E0033958,East Finchley,-0.1673,51.58434,active
490003532S,Ayloffs Walk,E0034448,Ardleigh Green,0.21904,51.57791,active
490003532N,Ayloffs Walk,E0034448,Ardleigh Green,0.21898,51.57876,active
490003533E,Harris Academy,E0034789,Bermondsey,-0.07112,51.4928,active
490003535W,Bennetts Castle Lane Fair Cross,N0060430,Becontree,0.12282,51.55112,active
490003535E,Bennetts Castle Lane Fair Cross,N0060430,Becontree,0.1251,51.5515,active
490003537E,Bacon Lane,E0034429,Little Stanmore,-0.28066,51.60452,active
490003537W,Bacon Lane,E0034429,Little Stanmore,-0.28112,51.60414,active
490003538E,Bacon Lane Kingsbury,E0034052,Kingsbury,-0.27068,51.59128,active
490003538W,Bacon Lane Kingsbury,E0034052,Kingsbury,-0.27191,51.59075,active
490003543E,Badric Court,E0034892,Clapham Junction,-0.17477,51.47001,active
490003543LL,Badric Court,E0034892,Clapham Junction,-0.17417,51.46984,active
490003544N,Dearsley Road,N0060495,Enfield,-0.05678,51.65101,active
490003544S,Dearsley Road,N0060495,Enfield,-0.05658,51.65111,active
490003545K,Bromley Road (E10),E0034881,Walthamstow,-0.01159,51.57391,active
490003547W,Baker Street,E0034300,Forty Hill,-0.07795,51.66312,active
490003547E1,Baker Street,E0034300,Forty Hill,-0.07834,51.66343,active
490003547E2,Baker Street,E0034300,Forty Hill,-0.0778,51.66322,active
490012354N,Inner London Crown Court,E0034790,The Borough,-0.09783,51.49859,active
490003548B,Inner London Crown Court,E0034790,The Borough,-0.09779,51.4984,active
490011039N,Barking Road Plaistow,E0034709,Plaistow,0.02241,51.52276,active
490003549S,Barking Road Plaistow,E0034709,Plaistow,0.02258,51.52275,active
490003550N,Horncastle Road / Lee,E0034665,Hither Green,0.01534,51.44554,active
490003550XY,Horncastle Road / Lee,E0034665,Hither Green,0.01548,51.44547,active
490003550XZ,Horncastle Road / Lee,E0034665,Hither Green,0.01635,51.44569,active
490003551E,Balaam Street,E0034709,Plaistow,0.02196,51.52216,active
490003551W,Balaam Street,E0034709,Plaistow,0.02338,51.52256,active
490003552N,Electric Parade,E0034623,Surbiton,-0.31196,51.39152,active
490003552S,Electric Parade,E0034623,Surbiton,-0.31188,51.39119,active
490003553E,Balchen Road,E0034330,Kidbrooke,0.03702,51.46901,active
490003553W,Balchen Road,E0034330,Kidbrooke,0.03583,51.46882,active
490003554W,Cleveland Terrace,E0034942,Paddington,-0.18012,51.51716,active
490003555S,FURNESS ROAD,N0060477,Morden,-0.19139,51.3896,active
490003556S,Balfern Grove,E0034563,Turnham Green,-0.25057,51.48937,active
490003556N,Balfern Grove,E0034563,Turnham Green,-0.25094,51.48958,active
490003557S,Balfour Street,E0034809,Walworth,-0.08982,51.49138,active
490003557N,Balfour Street,E0034809,Walworth,-0.08956,51.49132,active
490003558W,Balgores Lane,E0034455,Gidea Park,0.20077,51.58669,active
490003559S,Ponsonby Terrace,E0034943,Pimlico,-0.1305,51.48967,active
490003560N,Balham Health Centre,E0034884,Balham,-0.14875,51.44091,active
490003560S,Balham Health Centre,E0034884,Balham,-0.14856,51.44084,active
490003561E,Balham New Road,E0034884,Balham,-0.14958,51.44636,active
490003561F,Balham New Road,E0034884,Balham,-0.14912,51.44727,active
490003562E,Moor Lane Chessington,E0034605,Chessington,-0.2917,51.36239,active
490003564W,Pymmes Road,N0065115,Palmers Green,-0.11795,51.61232,active
490003564E,Pymmes Road,N0065115,Palmers Green,-0.11868,51.61255,active
490003565E2,Ballards Road /Princess Parade,E0033934,Dagenham,0.15383,51.52982,active
490009126W,Ballards Road,E0033934,Dagenham,0.16722,51.53814,active
490003566N1,Ballards Road,E0033934,Dagenham,0.16528,51.53947,active
490003566N2,Ballards Road,E0033934,Dagenham,0.16532,51.54003,active
490003566E,Ballards Road,E0033934,Dagenham,0.16725,51.5384,active
490010438ND,North Woolwich / Pier Road,E0034711,North Woolwich,0.06426,51.49997,active
490010438NC,North Woolwich / Pier Road,E0034711,North Woolwich,0.06401,51.50005,active
490003568E,Ballards Way,E0034233,Selsdon/South Croydon,-0.07257,51.35582,active
490003568N,Ballards Way,E0034233,Selsdon/South Croydon,-0.07298,51.35598,active
490003569S2,Balls Pond Road Newington Green,E0034567,Canonbury,-0.08663,51.54721,active
490003569N1,Newington Green /Balls Pond Rd,E0034567,Canonbury,-0.08713,51.54672,active
490003571N,Balmoral Court,E0034064,Wembley Park,-0.28857,51.56109,active
490003572N,Balmoral Drive,E0034519,Wood End,-0.41844,51.52711,active
490003572D,Balmoral Drive,E0034519,Wood End,-0.41974,51.52573,active
490003573S,Baltic Street West,E0034582,St Lukes,-0.09746,51.52234,active
490003574E,Bampton Road,E0034459,Harold Wood,0.22507,51.59636,active
490003574S,Bampton Road,E0034459,Harold Wood,0.22289,51.59538,active
490003575E,Bancroft's School,E0034746,Woodford Wells,0.0261,51.61881,active
490003575W,Bancroft's School,E0034746,Woodford Wells,0.0259,51.61874,active
490003576N,Bandon Hill Cemetery,E0034810,Beddington,-0.1321,51.36645,active
490003769S,Bandon Hill Cemetery,E0034810,Beddington,-0.13191,51.36721,active
490003577W,Wakeman Road,E0034048,Kensal Rise,-0.21613,51.5311,active
490003578E,Susan Wood,E0034083,Chislehurst,0.06221,51.40762,active
490003578W,Susan Wood,E0034083,Chislehurst,0.06294,51.40821,active
490003579Z,Bankhurst Road,E0034659,Catford,-0.02969,51.44858,active
490003580S,Lynton Close (TW7),E0034546,Isleworth,-0.33169,51.46292,active
490003580N,Lynton Close (TW7),E0034546,Isleworth,-0.33165,51.46363,active
490003581E,Bankside Road,E0034736,Loxford,0.08178,51.54728,active
490003581W,Bankside Road,E0034736,Loxford,0.08231,51.5472,active
490003582W,Bannister Playing Fields,N0065063,Hatch End,-0.35677,51.6092,active
490003582C,Bannister Playing Fields,N0065063,Hatch End,-0.35724,51.6093,active
490003583N,Banister Road,E0034048,Kensal Rise,-0.21652,51.53057,active
490003583S,Banister Road,E0034048,Kensal Rise,-0.2163,51.53047,active
490003584O,Bannockburn Road,E0034334,Plumstead,0.0932,51.48719,active
490003589S,Banstead Road South / Downs Rd,E0034813,Belmont,-0.18782,51.3415,active
490003590W,Rutherford Court,N0060448,Grange Park,-0.11247,51.64423,active
490004808S,Barbauld Road,E0034369,Stoke Newington,-0.08243,51.55893,active
